Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
G326;4CSV01;4CSV01-69;;;Cam-Fixe-69;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G340;4CSV01;4CSV01-70;;;Cam-Fixe-70;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G325;4CSV01;4CSV01-71;;;Cam-Fixe-71;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G344;4CSV01;4CSV01-72;;;Cam-Fixe-72;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G342;4CSV01;4CSV01-73;;;Cam-Fixe-73;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G493;4CSV01;4CSV01-74;;;Cam-Fixe-74;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G346;4CSV01;4CSV01-75;;;Cam-Fixe-75;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G345;4CSV01;4CSV01-76;;;Cam-Fixe-76;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G71;4CSV01;4CSV01-77;;;Cam-Fixe-77;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G73;4CSV01;4CSV01-78;;;Cam-Fixe-78;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G85;4CSV01;4CSV01-79;;;Cam-Fixe-79;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G500;4CSV01;4CSV01-80;;;Cam-Fixe-80;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G134;4CSV01;4CSV01-81;;;Cam-Fixe-81;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G72;4CSV01;4CSV01-82;;;Cam-Fixe-82;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G72;4CSV01;4CSV01-83;;;Cam-Fixe-83;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G104;4CSV01;4CSV01-84;;;Cam-Fixe-84;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G131;4CSV01;4CSV01-85;;;Cam-Fixe-85;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G141;4CSV01;4CSV01-86;;;Cam-Fixe-86;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G487;4CSV01;4CSV01-87;;;Cam-Fixe-87;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G287;4CSV01;4CSV01-88;;;Cam-Fixe-88;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G288;4CSV01;4CSV01-89;;;Cam-Fixe-89;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G283;4CSV01;4CSV01-90;;;Cam-Fixe-90;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G325;4CSV01;4CSV01-91;;;Cam-Fixe-91;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G495;4CSV01;4CSV01-92;;;Cam-Fixe-92;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G495;4CSV01;4CSV01-93;;;Cam-Fixe-93;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G495;4CSV01;4CSV01-94;;;Cam-Fixe-94;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G367;4CSV01;4CSV01-95;;;Cam-Fixe-95;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G399;4CSV01;4CSV01-96;;;Cam-Fixe-96;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G358;4CSV01;4CSV01-97;;;Cam-Fixe-97;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G367;4CSV01;4CSV01-98;;;Cam-Fixe-98;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G461;4CSV01;4CSV01-99;;;Cam-Fixe-99;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G145;4CSV01;4CSV01-100;;;Cam-Fixe-100;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G148;4CSV01;4CSV01-101;;;Cam-Fixe-101;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G154;4CSV01;4CSV01-102;;;Cam-Fixe-102;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G163;4CSV01;4CSV01-103;;;Cam-Fixe-103;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G150;4CSV01;4CSV01-104;;;Cam-Fixe-104;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G166;4CSV01;4CSV01-105;;;Cam-Fixe-105;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G462;4CSV01;4CSV01-106;;;Cam-Fixe-106;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G462;4CSV01;4CSV01-107;;;Cam-Fixe-107;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G179;4CSV01;4CSV01-108;;;Cam-Fixe-108;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G180;4CSV01;4CSV01-109;;;Cam-Fixe-109;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G184;4CSV01;4CSV01-110;;;Cam-Fixe-110;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G179;4CSV01;4CSV01-111;;;Cam-Fixe-111;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G193;4CSV01;4CSV01-112;;;Cam-Fixe-112;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G194;4CSV01;4CSV01-113;;;Cam-Fixe-113;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G228;4CSV01;4CSV01-114;;;Cam-Fixe-114;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G320;4CSV01;4CSV01-115;;;Cam-Fixe-115;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G249;4CSV01;4CSV01-116;;;Cam-Fixe-116;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
G200;4CSV01;4CSV01-117;;;Cam-Fixe-117;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;X
